도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
고부작은도서관,,,작은도서관,"토요일, 일요일, 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,10,6412,0,0,5.0,17,전북특별자치도 정읍시 고부면 교동3길 10-1,주민자치(고부작은도서관 운영위원회),063-538-0015,,83.0,,35.6206106,126.7720446,2024-07-25,4691000,전북특별자치도 정읍시
청라호수도서관,인천광역시,서구,공공도서관,매주금요일+법정공휴일,09:00,22:00,09:00,18:00,00:00,00:00,199,105896,63,2682,5.0,14,인천광역시 서구 크리스탈로 59,,,,,,,,2024-11-19,6280000,인천광역시
검암도서관,인천광역시,서구,공공도서관,매주월요일+법정공휴일,09:00,22:00,09:00,18:00,00:00,00:00,210,50296,38,10336,5.0,14,인천광역시 서구 검암로 20번길 20,,,,,,,,2024-11-19,6280000,인천광역시
마전도서관,인천광역시,서구,공공도서관,매주금요일+법정공휴일,09:00,22:00,09:00,18:00,00:00,00:00,490,51834,50,664,5.0,14,인천광역시 서구 원당대로 563,,,,,,,,2024-11-19,6280000,인천광역시
강화도서관,인천광역시,강화군,공공도서관,매주월요일+법정공휴일,09:00,22:00,09:00,22:00,00:00,00:00,401,78122,804,3584,7033.360000000001,14,인천광역시 강화군 강화읍 북문길 9번길 18,,,,,,,,2024-11-19,6280000,인천광역시
내가도서관,인천광역시,강화군,공공도서관,매주금요일+법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,44,16695,0,0,7033.360000000001,14,인천광역시 강화군 내가면 강화서로249,,,,,,,,2024-11-19,6280000,인천광역시
지혜의숲도서관,인천광역시,강화군,공공도서관,매주금요일+법정공휴일,09:00,22:00,09:00,22:00,00:00,00:00,193,18117,0,0,7033.360000000001,14,인천광역시 강화군 선원면 대문고개로 131,,,,,,,,2024-11-19,6280000,인천광역시
백령도서관,인천광역시,옹진군,공공도서관,매주월요일+법정공휴일,09:00,21:00,09:00,18:00,00:00,00:00,45,25395,0,0,2.0,14,인천광역시 옹진군 백령면 백령로260,,,,,,,,2024-11-19,6280000,인천광역시
대청도서관,인천광역시,옹진군,공공도서관,주말+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,50,19312,0,0,2.0,14,인천광역시 옹진군 대청면 대청리 750,,,,,,,,2024-11-19,6280000,인천광역시
영흥도서관,인천광역시,옹진군,공공도서관,매주월요일+법정공휴일,10:00,21:00,10:00,17:00,00:00,00:00,71,35274,0,0,2.0,14,인천광역시 옹진군 영흥면 영흥로 283-31,,,,,,,,2024-11-19,6280000,인천광역시
연평도서관,인천광역시,옹진군,공공도서관,매주월요일+법정공휴일,09:00,21:00,09:00,18:00,00:00,00:00,30,6953,0,0,2.0,14,인천광역시 옹진군 연평면 연평로 184,,,,,,,,2024-11-19,6280000,인천광역시
은천동작은도서관,서울특별시,관악구,공공도서관,월+공휴일,09:00,20:00,09:00,17:00,00:00,00:00,89,50713,28,1270,5.0,14,서울특별시 관악구 봉천로 33나길 30,서울특별시 관악구청,02-877-1162,1075,2974.0,http://lib.gwanak.go.kr/,37.48530456,126.942434,2024-10-31,3200000,서울특별시 관악구
조원작은도서관,서울특별시,관악구,공공도서관,월+공휴일,09:00,20:00,09:00,17:00,00:00,00:00,120,61840,62,3655,5.0,14,서울특별시 관악구 조원로 12길 25,서울특별시 관악구청,02-851-5571,801,2668.0,http://lib.gwanak.go.kr/,37.48256328,126.907773,2024-10-31,3200000,서울특별시 관악구
오산시 중앙도서관,경기도,오산시,공공도서관,첫째 주 월+셋째 주 월+1월 1일+설 연휴+추석 연휴+명절 연휴와 이어지는 토·일+임시 휴관일(특별한 사유),09:00,22:00,09:00,18:00,09:00,18:00,442,247681,65,2569,7.0,14,경기도 오산시 운암로 85(오산동),경기도 오산시청,031-8036-6140,2970.1,6459.08,https://osanlibrary.go.kr/,37.15387677,127.0769305,2023-11-27,4000000,경기도 오산시
오산시 꿈두레도서관,경기도,오산시,공공도서관,첫째 주 월+셋째 주 월+1월 1일+설 연휴+추석 연휴+명절 연휴와 이어지는 토·일+임시 휴관일(특별한 사유),09:00,22:00,09:00,18:00,09:00,18:00,362,146822,59,1079,7.0,14,경기도 오산시 세마역로 20(세교동),경기도 오산시청,031-8036-6520,8342.9,5317.14,https://osanlibrary.go.kr/kkumdure/main.do,37.1815707,127.0454507,2023-11-27,4000000,경기도 오산시
오산시 양산도서관,경기도,오산시,공공도서관,둘째 주 월+넷째 주 월+1월 1일+설 연휴+추석 연휴+명절 연휴와 이어지는 토·일+임시 휴관일(특별한 사유),09:00,22:00,09:00,18:00,09:00,18:00,232,60870,36,948,7.0,14,경기도 오산시 양산로 410번길 34(양산동),경기도 오산시청,031-8036-6143,1113,2184.77,https://osanlibrary.go.kr/yangsan/main.do,37.19429611,127.0321996,2023-11-27,4000000,경기도 오산시
오산시 청학도서관,경기도,오산시,공공도서관,둘째 주 월+넷째 주 월+1월 1일+설 연휴+추석 연휴+명절 연휴와 이어지는 토·일+임시 휴관일(특별한 사유),09:00,20:00,09:00,18:00,09:00,18:00,92,79355,15,566,7.0,14,경기도 오산시 청학로 65(청학동),경기도 오산시청,031-8036-6490,4005,1715.46,https://osanlibrary.go.kr/cheonghak/main.do,37.15494012,127.0643706,2023-11-27,4000000,경기도 오산시
오산시 초평도서관,경기도,오산시,공공도서관,첫째 주 월+셋째 주 월+1월 1일+설 연휴+추석 연휴+명절 연휴와 이어지는 토·일+임시 휴관일(특별한 사유),09:00,22:00,09:00,18:00,09:00,18:00,220,46593,18,871,7.0,14,경기도 오산시 발안로 1353-11(누읍동),경기도 오산시청,031-8036-6142,17574,1290.71,https://osanlibrary.go.kr/chopyeong/main.do,37.142448,127.046558,2023-11-27,4000000,경기도 오산시
오산시 소리울도서관,경기도,오산시,공공도서관,둘째 주 월+넷째 주 월+1월 1일+설 연휴+추석 연휴+명절 연휴와 이어지는 토·일+임시 휴관일(특별한 사유),09:00,22:00,09:00,18:00,09:00,18:00,100,36664,19,2301,7.0,14,경기도 오산시 경기대로 102-25(원동),경기도 오산시청,031-8036-6670,4624,2999.68,https://osanlibrary.go.kr/soriul/main.do,37.13259349,127.0749143,2023-11-27,4000000,경기도 오산시
오산시 햇살마루도서관,경기도,오산시,공공도서관,첫째 주 월+셋째 주 월+1월 1일+설 연휴+추석 연휴+명절 연휴와 이어지는 토·일+임시 휴관일(특별한 사유),09:00,20:00,09:00,18:00,09:00,18:00,72,50996,29,0,7.0,14,경기도 오산시 오산로 132번길 28-6(원동),경기도 오산시청,031-8036-6500,1508.6,999.02,https://osanlibrary.go.kr/hatsalmaru/main.do,37.13835719,127.071757,2023-11-27,4000000,경기도 오산시
영등도서관,,,공공도서관,매주 월요일+일요일을 제외한 법정 공휴일,07:00,22:00,07:00,22:00,07:00,22:00,258,178187,151,6188,5.0,21,전북특별자치도 익산시 궁동로 57,익산시 영등시립도서관,063-859-4661,2910,3977.0,https://lib.iksan.go.kr/yd,35.962916,126.977744,2024-07-24,4681000,전북특별자치도 익산시
부송도서관,,,공공도서관,매주 월요일+일요일을 제외한 법정 공휴일,07:00,22:00,07:00,22:00,07:00,22:00,247,109245,95,3386,5.0,21,전북특별자치도 익산시 무왕로 25길 30,익산시 영등시립도서관,063-859-3717,7902,3743.0,https://lib.iksan.go.kr/bs,35.964501,126.994596,2024-07-24,4681000,전북특별자치도 익산시
유천도서관,,,공공도서관,매주 월요일+일요일을 제외한 법정 공휴일,09:00,22:00,09:00,17:00,09:00,17:00,0,25983,32,0,5.0,21,전북특별자치도 익산시 동천로 86,익산시 영등시립도서관,063-859-7555,6600,2202.0,https://lib.iksan.go.kr/yc/,35.9286157398,126.972561,2024-07-24,4681000,전북특별자치도 익산시
금마도서관,,,공공도서관,매주 월요일+일요일을 제외한 법정 공휴일,09:00,18:00,09:00,17:00,09:00,17:00,0,18103,23,0,5.0,21,전북특별자치도 익산시 고도길 26-53,익산시 영등시립도서관,063-859-7512,885,543.0,https://lib.iksan.go.kr/gm,35.99329,127.0506,2024-07-24,4681000,전북특별자치도 익산시
황등도서관,,,공공도서관,매주 월요일+일요일을 제외한 법정 공휴일,09:00,18:00,09:00,17:00,09:00,17:00,0,26624,38,503,5.0,21,전북특별자치도 익산시 황등면 황등 8길 -7,익산시 영등시립도서관,063-859-3723,2694,422.0,https://lib.iksan.go.kr/hd,36.004677,126.943355,2024-07-24,4681000,전북특별자치도 익산시
우당도서관,제주특별자치도,제주시,공공도서관,월요일+1월1일+설연휴+추석연휴+12월31일,08:00,23:00,08:00,23:00,08:00,23:00,847,254789,169,31065,5.0,15,제주특별자치도 제주시 사라봉동길 30,제주특별자치도 제주시청,064-728-1503,24389,7037.0,http://lib.jeju.go.kr/,33.51486981,126.547868,2024-07-24,6510000,제주특별자치도 제주시
제주시기적의도서관,제주특별자치도,제주시,공공도서관,월요일+1월1일+설연휴+추석연휴+12월31일,09:00,18:00,09:00,18:00,09:00,18:00,100,50831,15,1483,5.0,15,제주특별자치도 제주시 동광로 12길19,제주특별자치도 제주시청,064-728-1504,2126,728.0,http://lib.jeju.go.kr/,33.50176496,126.5355283,2024-07-24,6510000,제주특별자치도 제주시
조천읍도서관,제주특별자치도,제주시,공공도서관,금요일+1월1일+설연휴+추석연휴+12월31일,08:00,22:00,08:00,22:00,08:00,22:00,180,74529,21,2432,5.0,15,제주특별자치도 제주시 조천읍 일주동로 1189,제주특별자치도 제주시청,064-728-1505,9336,1231.0,http://lib.jeju.go.kr/,33.53770537,126.6676186,2024-07-24,6510000,제주특별자치도 제주시
탐라도서관,제주특별자치도,제주시,공공도서관,금요일+1월1일+설연휴+추석연휴+12월31일+대체공휴일,08:00,23:00,08:00,23:00,08:00,23:00,979,223108,151,22627,5.0,15,제주특별자치도 제주시 정원로 50,제주특별자치도 제주시청,064-728-1506,15897,4998.0,http://lib.jeju.go.kr/,33.47919835,126.4762462,2024-07-24,6510000,제주특별자치도 제주시
애월도서관,제주특별자치도,제주시,공공도서관,금요일+1월1일+설연휴+추석연휴+12월31일+대체공휴일,08:00,22:00,08:00,22:00,08:00,22:00,181,77263,16,2776,5.0,15,제주특별자치도 제주시 애월읍 일주서로 6339,제주특별자치도 제주시청,064-728-1507,3599,1501.0,http://lib.jeju.go.kr/,33.46332164,126.3313092,2024-07-24,6510000,제주특별자치도 제주시
한경도서관,제주특별자치도,제주시,공공도서관,금요일+1월1일+설연휴+추석연휴+12월31일+대체공휴일,08:00,22:00,08:00,22:00,08:00,22:00,124,61652,21,1873,5.0,15,제주특별자치도 제주시 한경면 신한로13,제주특별자치도 제주시청,064-728-1508,5852,1048.0,http://lib.jeju.go.kr/,33.35010593,126.1845312,2024-07-24,6510000,제주특별자치도 제주시
정읍시립중앙도서관,,,공공도서관,법정공휴일,08:00,23:59,08:00,23:59,08:00,23:59,602,185320,35,6649,5.0,17,전북특별자치도 정읍시 벚꽃로 511,전북특별자치도 정읍시청,063-539-6437,13692,3503.0,https://lib.jeongeup.go.kr,35.557377,126.8669738,2024-07-25,4691000,전북특별자치도 정읍시
충청남도보령교육지원청웅천도서관,충청남도,보령시,공공도서관,일+국가지정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,109,70534,25,2375,20.0,21,충청남도 보령시 웅천읍 방축길 90-39,충청남도교육청,041-934-1789,3096,1013.0,https://uclib.cne.go.kr,,,2023-11-29,8171101,충청남도교육청 충청남도보령교육지원청 충청남도보령교육지원청웅천도서관
수락작은도서관,서울특별시,노원구,작은도서관,법정공휴일+토+일,09:00,18:00,00:00,00:00,00:00,00:00,39,19434,0,0,7.0,14,서울특별시 노원구 덕릉로 859,노원구구립도서관,02-2116-2809,227,,www.nowonlib.kr,37.6729097,127.0831565736,2024-07-24,3100000,서울특별시 노원구
해솔작은도서관,서울특별시,노원구,작은도서관,법정공휴일+토+일,09:00,18:00,00:00,00:00,00:00,00:00,12,14757,0,0,7.0,14,서울특별시 노원구 한글비석로 434,노원구구립도서관,02-2116-2849,70,,www.nowonlib.kr,37.66297906,127.0693664,2024-07-24,3100000,서울특별시 노원구
메아리작은도서관,서울특별시,노원구,작은도서관,법정공휴일+토+일,09:00,18:00,00:00,00:00,00:00,00:00,14,14966,0,0,7.0,14,서울특별시 노원구 노해길 183,노원구구립도서관,02-2116-2863,121.1,,www.nowonlib.kr,37.65299,127.057987,2024-07-24,3100000,서울특별시 노원구
표선도서관,제주특별자치도,서귀포시,공공도서관,매주금요일+1월1일+설연휴+추석연휴+12월31일+「관공서의 공휴일에 관한 규정」제3조제1항제2호에 따른 대체공휴일,08:00,22:00,08:00,22:00,08:00,22:00,148,76496,28,3413,5.0,15,제주특별자치도 서귀포시 표선면 표선백사로 110번길 17-10,제주특별자치도 서귀포시,064-787-5488,5840,2039.0,http://lib.jeju.go.kr/,33.32377597,126.8384972,2024-11-13,6520000,제주특별자치도 서귀포시
퐁낭(동홍동)작은도서관,제주특별자치도,서귀포시,작은도서관,국가지정공휴일(일요일포함),14:00,20:00,14:00,18:00,00:00,00:00,43,5036,3,50,5.0,14,제주특별자치도 서귀포시 동홍중앙로 56(동홍동),제주특별자치도 서귀포시,064-733-4682,,,https://www.smalllibrary.org/main/index,33.25544697,126.5722626,2024-11-13,6520000,제주특별자치도 서귀포시
중앙꿈쟁이(중앙동)작은도서관,제주특별자치도,서귀포시,작은도서관,국가지정공휴일(일요일포함),13:00,19:00,10:00,18:00,00:00,00:00,40,9512,1,0,5.0,14,제주특별자치도 서귀포시 동문로 39 4층,제주특별자치도 서귀포시,070-4548-1409,,,https://www.smalllibrary.org/main/index,33.25056431,126.5647008,2024-11-13,6520000,제주특별자치도 서귀포시
보목꿈터작은도서관,제주특별자치도,서귀포시,작은도서관,국가지정공휴일(일요일포함)+매주월요일,14:00,18:00,14:00,18:00,00:00,00:00,30,8980,6,20,5.0,14,제주특별자치도 서귀포시 칠십리로 483-1(송산동),보목꿈터작은도서관,064-732-3506,,,https://www.smalllibrary.org/main/index,33.24174842,126.602407,2024-11-13,6520000,제주특별자치도 서귀포시
(신례1리)예촌작은도서관,제주특별자치도,서귀포시,작은도서관,국가지정공휴일(일요일포함)+매주월요일,14:00,18:00,10:00,14:00,00:00,00:00,29,7200,4,0,5.0,14,제주특별자치도 서귀포시 남원읍 신례중앙로 37,예촌작은도서관,064-767-5200,,,https://www.smalllibrary.org/main/index,33.28797397,126.6269956,2024-11-13,6520000,제주특별자치도 서귀포시
(세화2리)갯머리작은도서관,제주특별자치도,서귀포시,작은도서관,국가지정공휴일(일요일제외)+매주월요일+매주토요일,15:00,19:00,00:00,00:00,15:00,19:00,20,5739,4,0,3.0,14,제주특별자치도 서귀포시 표선면 일주동로 6276,세화2리마을회,064-787-3420,,,https://www.smalllibrary.org/main/index,33.30704179,126.8012247,2024-11-13,6520000,제주특별자치도 서귀포시
온평 열운이작은도서관,제주특별자치도,서귀포시,작은도서관,국가지정공휴일(일요일포함)+매주월요일,13:00,17:00,13:00,17:00,00:00,00:00,28,5452,13,0,5.0,15,제주특별자치도 서귀포시 성산읍 온평애향로 23번길 6,온평리마을회,070-8147-6514,,,https://www.smalllibrary.org/main/index,33.4081246,126.9001727,2024-11-13,6520000,제주특별자치도 서귀포시
용흥 작은도서관,제주특별자치도,서귀포시,작은도서관,국가지정공휴일(일요일포함)+매주금요일,14:00,18:00,10:00,14:00,00:00,00:00,25,5538,0,0,3.0,14,제주특별자치도 서귀포시 용흥로 55(대천동),용흥작은도서관,064-739-3669,,,https://www.smalllibrary.org/main/index,33.25145567,126.4824083,2024-11-13,6520000,제주특별자치도 서귀포시
전하2동작은도서관,울산광역시,동구,작은도서관,주말,10:00,16:00,00:00,00:00,10:00,18:00,21,2332,0,0,3.0,7,울산광역시 동구 진성4길 45,전하2동 주민자치위원회,052-209-4313,,438.0,,,,2025-03-06,3710000,울산광역시 동구
바다가보이는작은도서관,울산광역시,동구,작은도서관,월,10:00,21:00,10:00,20:00,10:00,18:00,30,3477,0,30,3.0,14,울산광역시 동구 봉수로 155,동구청소년문화의집,052-251-7925,,828.0,,,,2025-03-06,3710000,울산광역시 동구
해누리문고작은도서관,울산광역시,동구,작은도서관,주말+공휴일,10:00,19:00,00:00,00:00,00:00,00:00,30,9064,0,0,5.0,14,울산광역시 동구 방어진순환도로 501,해누리지역아동센터,052-252-8704,,132.0,,,,2025-03-06,3710000,울산광역시 동구
더불어숲작은도서관,울산광역시,동구,작은도서관,월,10:00,18:00,10:00,14:00,10:00,14:00,32,5334,6,0,3.0,14,울산광역시 동구 대학길40-1,더불어숲,052-236-6053,,9755.199999999997,,,,2025-03-06,3710000,울산광역시 동구
드림작은도서관,울산광역시,동구,작은도서관,주말+공휴일,10:00,16:00,00:00,00:00,00:00,00:00,15,1500,1,0,2.0,14,울산광역시 동구 월봉10길 70,무지개인성교육원,052-232-7787,,60.0,,,,2025-03-06,3710000,울산광역시 동구
명덕이음작은도서관,울산광역시,동구,작은도서관,주말+공휴일,09:00,18:00,00:00,00:00,00:00,00:00,20,4085,0,0,5.0,15,울산광역시 동구 명덕로 70,명덕2차아파트 입주자대표회의,052-235-4454,,7933.0,https://cafe.naver.com/mdbooki,,,2025-03-06,3710000,울산광역시 동구
우리동네작은도서관,울산광역시,동구,작은도서관,주말+공휴일,10:00,17:00,00:00,00:00,00:00,00:00,26,1500,0,0,1.0,7,울산광역시 동구 바드래4길 74-1,울산청소년비전학교,052-232-3230,,6657.0,,,,2025-03-06,3710000,울산광역시 동구
꿈샘도서관,울산광역시,동구,작은도서관,법정공휴일,13:00,17:00,13:00,17:00,00:00,00:00,16,5000,0,0,5.0,14,울산광역시 동구 남목18길 27,울산갈릴리교회,052-251-7384,,141.0,,,,2025-03-06,3710000,울산광역시 동구
상록수독서문화원,울산광역시,동구,작은도서관,매주 토요일,13:00,18:00,00:00,00:00,10:00,15:00,24,5474,0,0,3.0,7,울산광역시 동구 문재2나길 4,선교교회,052-236-8591,,396.0,,,,2025-03-06,3710000,울산광역시 동구
로뎀나무작은도서관,울산광역시,동구,작은도서관,법정공휴일,09:30,18:00,09:30,18:00,00:00,00:00,30,3061,0,0,5.0,7,울산광역시 동구 꽃바위로 380,세계비전교회,052-252-1990,,67.0,,,,2025-03-06,3710000,울산광역시 동구
충남도서관,충청남도,홍성군,공공도서관,월+법정공휴일+국가지정임시휴일,09:00,22:00,09:00,18:00,00:00,00:00,811,280873,146,139988,7.0,15,충청남도 홍성군 홍북읍 도청대로 577,충청남도,041-635-8000,31146,9755.199999999997,library.chungnam.go.kr,36.655915,126.669674,2023-12-18,6440000,충청남도
봉담커피앤북작은도서관,경기도,화성시,작은도서관,"매주 토, 일요일 및 법정공휴일",10:00,18:00,00:00,00:00,00:00,00:00,18,11941,11,0,7.0,14,경기도 화성시 봉담읍 상리3길 38,경기도 화성시청,070-4040-9833,92,92.0,www.hscitylib.or.kr,37.2260722,126.9439303,2025-01-01,5530000,경기도 화성시
늘봄이음터작은도서관,경기도,화성시,작은도서관,"매주 일, 월요일 및 법정공휴일, 재단창립기념일",09:00,18:00,09:00,18:00,00:00,00:00,21,8782,9,0,7.0,14,"경기도 화성시 동탄대로24길 49, 3층",화성시인재육성재단,031-378-5696,138,138.0,www.hscitylib.or.kr,37.21736028,127.1098102,2025-01-01,5530000,경기도 화성시
남양도서관,경기도,화성시,공공도서관,"매월 두 번째, 네 번째 월요일, 일요일을 제외한 법정공휴일",09:00,22:00,09:00,18:00,09:00,18:00,756,122968,66,0,7.0,14,경기도 화성시 남양읍 역골중앙로 143,경기도 화성시청,031-356-5241,4556,4499.0,www.hscitylib.or.kr,37.2103429,126.8250593,2025-01-01,5530000,경기도 화성시
태안도서관,경기도,화성시,공공도서관,"매월 두 번째, 네 번째 월요일, 일요일을 제외한 법정공휴일, 재단창립기념일",09:00,22:00,09:00,18:00,09:00,18:00,359,115287,48,4629,7.0,14,경기도 화성시 화산중앙로 19,화성시문화재단,031-223-4764,4423,4506.0,www.hscitylib.or.kr,37.20603589,127.0137962,2025-01-01,5530000,경기도 화성시
삼괴도서관,경기도,화성시,공공도서관,"매월 두 번째, 네 번째 월요일, 일요일을 제외한 법정공휴일, 재단창립기념일",09:00,22:00,09:00,18:00,09:00,18:00,186,86775,53,4063,7.0,14,경기도 화성시 우정읍 쌍봉로 109-26,화성시문화재단,031-358-2101,6612,1965.0,www.hscitylib.or.kr,37.08933609,126.8143188,2025-01-01,5530000,경기도 화성시
병점도서관,경기도,화성시,공공도서관,"매월 첫 번째, 세 번째 월요일, 일요일을 제외한 법정공휴일, 재단창립기념일",09:00,22:00,09:00,18:00,09:00,18:00,275,132985,59,4860,7.0,14,경기도 화성시 병점3로 132-6,화성시문화재단,031-226-1822,49171,2620.0,www.hscitylib.or.kr,37.21234435,127.0461085,2025-01-01,5530000,경기도 화성시
두빛나래어린이도서관,경기도,화성시,어린이도서관,"매월 두 번째, 네 번째 월요일, 일요일을 제외한 법정공휴일, 재단창립기념일",09:00,18:00,09:00,18:00,09:00,18:00,142,72335,42,2197,7.0,14,경기도 화성시 동탄숲속로 69-14,화성시문화재단,031-8003-0748,13593,1628.0,www.hscitylib.or.kr,37.20925484,127.056105,2025-01-01,5530000,경기도 화성시
봉담도서관,경기도,화성시,공공도서관,"매월 첫 번째, 세 번째 월요일, 일요일을 제외한 법정공휴일, 재단창립기념일",09:00,22:00,09:00,18:00,09:00,18:00,737,130996,75,4014,7.0,14,경기도 화성시 봉담읍 샘마을1길 8-4,화성시문화재단,031-227-7281,2394,4574.0,www.hscitylib.or.kr,37.21942115,126.949004,2025-01-01,5530000,경기도 화성시
둥지나래어린이도서관,경기도,화성시,어린이도서관,"매월 첫 번째, 세 번째 월요일, 일요일을 제외한 법정공휴일, 재단창립기념일",09:00,18:00,09:00,18:00,09:00,18:00,78,79310,46,2084,7.0,14,경기도 화성시 향남읍 행정중앙2로 88,화성시문화재단,031-353-8162,47003,1619.0,www.hscitylib.or.kr,37.12917664,126.9247654,2025-01-01,5530000,경기도 화성시
동탄복합문화센터도서관,경기도,화성시,공공도서관,"매월 두 번째, 네 번째 월요일, 일요일을 제외한 법정공휴일, 재단창립기념일",09:00,22:00,09:00,18:00,09:00,18:00,1066,199993,83,4285,7.0,14,경기도 화성시 노작로 134,화성시문화재단,031-8015-8200,304627,6464.0,www.hscitylib.or.kr,37.20068757,127.0751432,2025-01-01,5530000,경기도 화성시
송산도서관,경기도,화성시,공공도서관,"매월 첫 번째, 세 번째 월요일, 일요일을 제외한 법정공휴일, 재단창립기념일",09:00,22:00,09:00,18:00,09:00,18:00,396,86249,38,3083,7.0,14,경기도 화성시 송산면 삼일공원로 87,화성시문화재단,031-355-3598,8070,3907.0,www.hscitylib.or.kr,37.21678133,126.7392489,2025-01-01,5530000,경기도 화성시
정남도서관,경기도,화성시,공공도서관,"매월 첫 번째, 세 번째 월요일, 일요일을 제외한 법정공휴일, 재단창립기념일",09:00,22:00,09:00,18:00,09:00,18:00,83,45396,42,1632,7.0,14,경기도 화성시 정남면 만년로 527,화성시문화재단,031-8059-4946,1713,567.0,www.hscitylib.or.kr,37.16822178,126.983164,2025-01-01,5530000,경기도 화성시
진안도서관,경기도,화성시,공공도서관,"매월 두 번째, 네 번째 월요일, 일요일을 제외한 법정공휴일, 재단창립기념일",09:00,22:00,09:00,18:00,09:00,18:00,471,91689,78,2427,7.0,14,경기도 화성시 병점중앙로 229,화성시문화재단,031-224-9977,43268,2931.0,www.hscitylib.or.kr,37.2173702,127.0336058,2025-01-01,5530000,경기도 화성시
